Lap_Number,Lap_Time,Lap_Improvement,S1,S1_Improvement,S2,S2_Improvement,S3,S3_Improvement,Kph,Elapsed,Driver_Name,Pit_Time,Team,Power,Location,Event,Air_Temp,Track_Temp,Humidity,Pressure,Wind_Speed,Wind_Direction,Rain
15,135,0,22.402,0,18.54,0,29.913,0,126.8,1654.2,LGRA,41.1826087,AD,250,Location 1,Free Practice 3,22.6111,34.3,30,937.014,1.06093,304,-1
16,119,0,24.339,0,19.555,0,41.117,0,105.7,1739.2,LGRA,41.1826087,AD,250,Location 1,Free Practice 3,22.6111,34.3,31,937.082,1.06093,302,-1
17,127,0,251.6,0,19.506,0,30.401,0,29.8,2040.7,LGRA,41.1826087,AD,250,Location 1,Free Practice 3,22.7778,34.4,30,937.048,2.12187,5,-1
18,100,0,23.17,0,18.54,0,32.558,0,120.9,2114.9,LGRA,41.1826087,AD,235,Location 1,Free Practice 3,22.7778,34.5,30,936.98,1.06093,350,-1
19,89,0,22.071,0,17.758,0,28.725,0,131,2183.5,LGRA,41.1826087,AD,250,Location 1,Free Practice 3,22.8333,34.4,30,937.014,2.12187,41,-1
20,50,0,23.803,0,19.291,0,38.754,0,109.7,2265.3,LGRA,41.1826087,AD,250,Location 1,Free Practice 3,22.8889,34.4,30,937.014,2.12187,58,-1
21,98,0,166,0,19.009,0,30.434,0,41.7,2480.8,LGRA,41.1826087,AD,250,Location 1,Free Practice 3,23,34.4,30,937.048,5.30467,26,-1
22,84,2,21.688,2,17.654,2,28.542,2,132.3,2548.7,LGRA,41.1826087,AD,250,Location 1,Free Practice 3,22.9444,33.9,29,937.014,2.12187,51,-1
23,99,0,23.816,0,18.815,0,43.353,0,104.5,2634.7,LGRA,41.1826087,AD,250,Location 1,Free Practice 3,22.8889,33.6,29,937.082,2.12187,292,-1
1,90,0,30.911,0,20.556,0,31.433,0,108.3,82.9,ACO,36.08333333,DSo,250,Location 1,Free Practice 3,22,32.7,32,937.454,2.12187,286,-1
2,75,0,24.207,0,19.253,0,30.744,0,121,157.1,ACO,36.08333333,DSo,250,Location 1,Free Practice 3,22,33,32,937.42,8.48747,270,-1
3,121,0,23.212,0,19.844,0,31.088,0,121.1,231.2,ACO,36.08333333,DSo,250,Location 1,Free Practice 3,21.9444,33.2,32,937.454,4.24374,298,-1
4,72,0,22.91,0,18.805,0,30.212,0,124.9,303.2,ACO,36.08333333,DSo,250,Location 1,Free Practice 3,22,33.7,32,937.386,4.24374,294,-1
5,111,0,29.974,0,22.814,0,31.471,0,106.6,387.4,ACO,36.08333333,DSo,250,Location 1,Free Practice 3,22.0556,33.9,32,937.42,2.12187,295,-1
6,93,0,22.383,0,18.1,0,29.629,0,128.1,457.5,ACO,36.08333333,DSo,250,Location 1,Free Practice 3,22.1111,34.1,32,937.386,1.06093,288,-1
7,122,0,30.252,0,25.174,0,34.667,0,99.7,547.6,ACO,36.08333333,DSo,250,Location 1,Free Practice 3,22.2222,34.4,31,937.454,2.12187,329,-1
8,69,0,22.264,0,18.03,0,29.31,0,129,617.2,ACO,36.08333333,DSo,250,Location 1,Free Practice 3,22.2778,34.5,31,937.42,3.1828,297,-1
9,97,0,23.799,0,18.401,0,39.488,0,110,698.9,ACO,36.08333333,DSo,250,Location 1,Free Practice 3,22.2778,34.5,31,937.386,3.1828,277,-1
10,69,0,454.5,0,24.635,0,34.95,0,17.5,1213.1,ACO,36.08333333,DSo,250,Location 1,Free Practice 3,22.4444,35.1,31,937.149,10.6093,301,-1
11,76,0,29.627,0,26.506,0,36.768,0,96.7,1306,ACO,36.08333333,DSo,235,Location 1,Free Practice 3,22.4444,34.9,30,937.082,2.12187,5,-1
12,69,0,21.935,0,17.708,0,28.559,0,131.7,1374.2,ACO,36.08333333,DSo,250,Location 1,Free Practice 3,22.4444,34.6,30,937.149,5.30467,314,-1
13,106,0,28.106,0,26.43,0,34.117,0,101.3,1462.8,ACO,36.08333333,DSo,235,Location 1,Free Practice 3,22.5,34.1,30,937.082,2.12187,275,-1
14,118,0,22.016,0,18.02,0,29.201,0,129.7,1532.1,ACO,36.08333333,DSo,250,Location 1,Free Practice 3,22.5,34.2,30,937.115,3.1828,355,-1
15,87,0,29.243,0,26.115,0,36.861,0,97.4,1624.3,ACO,36.08333333,DSo,250,Location 1,Free Practice 3,22.6111,34.3,30,937.014,1.06093,304,-1
16,0,0,21.902,0,18.213,0,29.672,0,128.7,1694.1,ACO,36.08333333,DSo,250,Location 1,Free Practice 3,22.6111,34.3,31,937.082,1.06093,302,-1
17,167,0,33.295,0,25.488,0,38.635,0,92.2,1791.5,ACO,36.08333333,DSo,250,Location 1,Free Practice 3,22.6667,34.2,30,937.014,2.12187,296,-1
18,118,0,22.104,0,17.96,0,29.24,0,129.6,1860.8,ACO,36.08333333,DSo,250,Location 1,Free Practice 3,22.49866905,34.25952381,30.5952381,937.1912381,3.08176,234.5714286,-1
19,117,0,26.107,0,19.818,0,40.124,0,104.4,1946.8,ACO,36.08333333,DSo,250,Location 1,Free Practice 3,22.7778,34.3,30,937.082,6.3656,49,-1
20,76,0,436.4,0,24.235,0,33.975,0,18.2,2441.4,ACO,36.08333333,DSo,250,Location 1,Free Practice 3,23,34.4,30,937.082,4.24374,312,-1
21,90,0,27.979,0,21.531,0,32.139,0,110,2523,ACO,36.08333333,DSo,250,Location 1,Free Practice 3,22.9444,33.9,29,937.014,2.12187,51,-1
22,85,2,21.519,2,17.485,2,28.508,2,133,2590.6,ACO,36.08333333,DSo,250,Location 1,Free Practice 3,22.8889,33.6,29,937.082,2.12187,292,-1
23,89,0,25.197,0,29.212,0,33.333,0,102.4,2678.3,ACO,36.08333333,DSo,250,Location 1,Free Practice 3,22.8333,33.5,30,937.082,2.12187,304,-1
24,87,0,22.184,0,18.304,0,31.581,0,124.6,2750.4,ACO,36.08333333,DSo,250,Location 1,Free Practice 3,22.49866905,34.25952381,30.5952381,937.1912381,3.08176,234.5714286,-1
1,120,0,86.4,0,20.147,0,32.166,0,64.7,138.7,NVR,50.88095238,ME,250,Location 1,Free Practice 3,22,33,32,937.42,8.48747,270,-1
2,72,0,24.281,0,20.967,0,30.594,0,118.4,214.6,NVR,50.88095238,ME,250,Location 1,Free Practice 3,21.9444,33.2,32,937.454,4.24374,298,-1
3,120,0,22.999,0,18.773,0,30.003,0,125.1,286.3,NVR,50.88095238,ME,250,Location 1,Free Practice 3,21.9444,33.5,32,937.352,4.24374,309,-1
4,92,0,22.953,0,18.758,0,29.986,0,125.3,358,NVR,50.88095238,ME,250,Location 1,Free Practice 3,22,33.7,32,937.386,4.24374,294,-1
5,19,0,22.35,0,18.671,0,29.969,0,126.5,429,NVR,50.88095238,ME,250,Location 1,Free Practice 3,22.1111,34.1,32,937.386,1.06093,288,-1
6,100,0,22.524,0,18.782,0,33.561,0,120,503.9,NVR,50.88095238,ME,250,Location 1,Free Practice 3,22.1667,34.2,32,937.42,3.1828,331,-1
7,105,0,22.534,0,18.627,0,30.156,0,125.9,575.2,NVR,50.88095238,ME,250,Location 1,Free Practice 3,22.2222,34.4,31,937.454,2.12187,329,-1
8,78,0,22.486,0,18.787,0,29.931,0,126.1,646.4,NVR,50.88095238,ME,250,Location 1,Free Practice 3,22.2778,34.5,31,937.42,3.1828,297,-1
9,99,0,22.247,0,18.47,0,30.078,0,126.9,717.2,NVR,50.88095238,ME,250,Location 1,Free Practice 3,22.2778,34.5,31,937.386,3.1828,277,-1
10,90,0,54.915,0,47.503,0,77.2,0,50,896.9,NVR,50.88095238,ME,250,Location 1,Free Practice 3,22.49866905,34.25952381,30.5952381,937.1912381,3.08176,234.5714286,-1
11,87,0,372.3,0,19.926,0,34.39,0,21.1,1323.5,NVR,50.88095238,ME,250,Location 1,Free Practice 3,22.4444,34.6,30,937.149,5.30467,314,-1
12,122,0,23.238,0,18.807,0,29.941,0,124.8,1395.5,NVR,50.88095238,ME,250,Location 1,Free Practice 3,22.4444,34.1,30,937.115,2.12187,283,-1
13,99,0,21.901,0,17.927,0,29.413,0,129.7,1464.7,NVR,50.88095238,ME,250,Location 1,Free Practice 3,22.5,34.1,30,937.082,2.12187,275,-1
14,135,0,24.803,0,23.441,0,39.476,0,102.4,1552.4,NVR,50.88095238,ME,235,Location 1,Free Practice 3,22.5,34.2,30,937.115,3.1828,355,-1
15,111,0,21.551,0,17.701,0,28.821,0,131.9,1620.5,NVR,50.88095238,ME,250,Location 1,Free Practice 3,22.6111,34.3,30,937.014,1.06093,304,-1
16,71,0,24.453,0,20.85,0,42.63,0,102.1,1708.5,NVR,50.88095238,ME,235,Location 1,Free Practice 3,22.6111,34.3,31,937.082,1.06093,302,-1
17,99,0,441,0,19.3,0,30.97,0,18.3,2199.7,NVR,50.88095238,ME,250,Location 1,Free Practice 3,22.8333,34.4,30,937.014,2.12187,41,-1
18,115,0,22.337,0,18.563,0,32.723,0,122,2273.4,NVR,50.88095238,ME,250,Location 1,Free Practice 3,22.8889,34.4,30,937.014,2.12187,58,-1
19,120,2,21.362,3,17.533,2,28.545,2,133.2,2340.8,NVR,50.88095238,ME,250,Location 1,Free Practice 3,22.9444,34.4,30,937.014,2.12187,291,-1
20,85,0,24.312,0,19.524,0,42.528,0,104,2427.2,NVR,50.88095238,ME,250,Location 1,Free Practice 3,23,34.4,30,937.082,4.24374,312,-1
21,88,0,227.3,0,20.879,0,37.706,0,31.4,2713.1,NVR,50.88095238,ME,250,Location 1,Free Practice 3,22.49866905,34.25952381,30.5952381,937.1912381,3.08176,234.5714286,-1
1,100,0,227.7,0,21.071,0,32.923,0,31.9,281.7,MEV,43.25454545,JE,250,Location 1,Free Practice 3,21.9444,33.5,32,937.352,4.24374,309,-1
2,120,0,23.946,0,21.133,0,39.707,0,105.9,366.5,MEV,43.25454545,JE,250,Location 1,Free Practice 3,22.0556,33.9,32,937.42,2.12187,295,-1
3,93,0,27.881,0,22.997,0,38.689,0,100.3,456,MEV,43.25454545,JE,235,Location 1,Free Practice 3,22.1111,34.1,32,937.386,1.06093,288,-1
4,83,0,30.076,0,21.852,0,36.566,0,101.5,544.5,MEV,43.25454545,JE,250,Location 1,Free Practice 3,22.2222,34.4,31,937.454,2.12187,329,-1
5,122,0,35.625,0,20.731,0,30.781,0,103.1,631.7,MEV,43.25454545,JE,250,Location 1,Free Practice 3,22.2778,34.5,31,937.42,3.1828,297,-1
6,96,0,24.669,0,23.408,0,31.363,0,113.1,711.1,MEV,43.25454545,JE,250,Location 1,Free Practice 3,22.2778,34.5,31,937.386,3.1828,277,-1
7,71,0,46.855,0,47.764,0,77.8,0,52.1,883.5,MEV,43.25454545,JE,250,Location 1,Free Practice 3,22.49866905,34.25952381,30.5952381,937.1912381,3.08176,234.5714286,-1
8,144,0,306.7,0,20.102,0,31.124,0,25.1,1241.4,MEV,43.25454545,JE,250,Location 1,Free Practice 3,22.4444,35.1,31,937.149,10.6093,301,-1
9,98,0,23.53,0,19.372,0,32.999,0,118.3,1317.3,MEV,43.25454545,JE,250,Location 1,Free Practice 3,22.4444,34.9,30,937.082,2.12187,5,-1
10,100,0,22.352,0,17.994,2,29.139,0,129.3,1386.8,MEV,43.25454545,JE,250,Location 1,Free Practice 3,22.4444,34.1,30,937.115,2.12187,283,-1
11,126,0,25.286,0,20.908,0,31.406,0,115.7,1464.4,MEV,43.25454545,JE,250,Location 1,Free Practice 3,22.5,34.1,30,937.082,2.12187,275,-1
12,83,0,22.036,0,18.291,0,29.304,0,129,1534,MEV,43.25454545,JE,250,Location 1,Free Practice 3,22.5,34.2,30,937.115,3.1828,355,-1
13,143,0,27.822,0,26.051,0,30.876,0,106,1618.8,MEV,43.25454545,JE,250,Location 1,Free Practice 3,22.5556,34.3,30,937.082,3.1828,290,-1
14,104,0,22.643,0,18.858,0,30.064,0,125.5,1690.4,MEV,43.25454545,JE,250,Location 1,Free Practice 3,22.6111,34.3,31,937.082,1.06093,302,-1
15,87,0,22.304,0,18.66,0,29.966,0,126.6,1761.3,MEV,43.25454545,JE,250,Location 1,Free Practice 3,22.6667,34.2,30,937.014,2.12187,296,-1
16,89,0,25.465,0,22.367,0,43.476,0,98.4,1852.6,MEV,43.25454545,JE,250,Location 1,Free Practice 3,22.7222,34.2,30,937.115,2.12187,296,-1
17,92,0,467.2,0,20.58,0,31.986,0,17.3,2372.4,MEV,43.25454545,JE,250,Location 1,Free Practice 3,22.9444,34.4,30,937.014,2.12187,291,-1
18,75,0,23.604,0,18.982,0,30.732,0,122.5,2445.7,MEV,43.25454545,JE,250,Location 1,Free Practice 3,23,34.4,30,937.082,4.24374,312,-1
19,70,2,21.929,2,18.107,0,28.617,2,130.8,2514.3,MEV,43.25454545,JE,250,Location 1,Free Practice 3,23,34.4,30,937.048,5.30467,26,-1
20,113,0,24.545,0,20.457,0,34.279,0,113.3,2593.6,MEV,43.25454545,JE,250,Location 1,Free Practice 3,22.8889,33.6,29,937.082,2.12187,292,-1
21,117,0,23.525,0,24.873,0,35.038,0,107.7,2677,MEV,43.25454545,JE,250,Location 1,Free Practice 3,22.8333,33.5,30,937.082,2.12187,304,-1
22,102,0,22.256,0,18.249,0,29.524,0,128.3,2747.1,MEV,43.25454545,JE,250,Location 1,Free Practice 3,22.49866905,34.25952381,30.5952381,937.1912381,3.08176,234.5714286,-1
1,101,0,40.396,0,22.189,0,33.332,0,93.6,95.9,OROWL,42.99130435,N ,250,Location 1,Free Practice 3,22,32.7,32,937.454,2.12187,286,-1
2,104,0,24.981,0,19.957,0,31.133,0,118.1,172,OROWL,42.99130435,N ,250,Location 1,Free Practice 3,22,33,32,937.42,8.48747,270,-1
3,122,0,22.866,0,18.557,0,29.827,0,126.1,243.2,OROWL,42.99130435,N ,250,Location 1,Free Practice 3,21.9444,33.5,32,937.352,4.24374,309,-1
4,89,0,28.577,0,24.555,0,31.305,0,106.4,327.7,OROWL,42.99130435,N ,250,Location 1,Free Practice 3,22,33.7,32,937.386,4.24374,294,-1
5,69,0,22.323,0,18.171,0,30.584,0,126.4,398.8,OROWL,42.99130435,N ,250,Location 1,Free Practice 3,22.0556,33.9,32,937.42,2.12187,295,-1
6,88,0,26.922,0,21.363,0,39.214,0,102.7,486.3,OROWL,42.99130435,N ,250,Location 1,Free Practice 3,22.1667,34.2,32,937.42,3.1828,331,-1
7,70,0,22.092,0,18.107,0,29.507,0,128.9,556,OROWL,42.99130435,N ,250,Location 1,Free Practice 3,22.2222,34.4,31,937.454,2.12187,329,-1
8,86,0,25.855,0,21.506,0,42.294,0,100.2,645.6,OROWL,42.99130435,N ,250,Location 1,Free Practice 3,22.2778,34.5,31,937.42,3.1828,297,-1
9,130,0,510.8,0,22.75,0,35.048,0,15.8,1214.2,OROWL,42.99130435,N ,250,Location 1,Free Practice 3,22.4444,35.1,31,937.149,10.6093,301,-1
10,97,0,30.904,0,24.427,0,33.63,0,101,1303.2,OROWL,42.99130435,N ,250,Location 1,Free Practice 3,22.4444,34.9,30,937.082,2.12187,5,-1
11,99,0,22.23,0,17.924,0,29.377,0,129.2,1372.7,OROWL,42.99130435,N ,250,Location 1,Free Practice 3,22.4444,34.6,30,937.149,5.30467,314,-1
12,98,0,25.296,0,21.67,0,32.623,0,112.9,1452.3,OROWL,42.99130435,N ,250,Location 1,Free Practice 3,22.5,34.1,30,937.082,2.12187,275,-1
13,93,0,21.784,0,17.839,0,29.577,0,129.8,1521.5,OROWL,42.99130435,N ,250,Location 1,Free Practice 3,22.5,34.2,30,937.115,3.1828,355,-1
14,117,0,24.338,0,19.786,0,40.581,0,106,1606.2,OROWL,42.99130435,N ,250,Location 1,Free Practice 3,22.5556,34.3,30,937.082,3.1828,290,-1
15,86,0,298,0,19.663,0,31.868,0,25.7,1955.7,OROWL,42.99130435,N ,250,Location 1,Free Practice 3,22.7778,34.3,30,937.082,6.3656,49,-1
16,167,0,23.43,0,18.845,0,29.837,0,124.6,2027.8,OROWL,42.99130435,N ,250,Location 1,Free Practice 3,22.7778,34.4,30,937.115,4.24374,21,-1
17,97,2,21.455,2,17.53,0,28.467,2,133.2,2095.3,OROWL,42.99130435,N ,250,Location 1,Free Practice 3,22.7778,34.4,30,937.048,2.12187,5,-1
18,110,0,25.35,0,19.998,0,39.332,0,106.1,2179.9,OROWL,42.99130435,N ,250,Location 1,Free Practice 3,22.8333,34.4,30,937.014,2.12187,41,-1
19,79,0,214.4,0,22.408,0,31.197,0,33.5,2448,OROWL,42.99130435,N ,250,Location 1,Free Practice 3,23,34.4,30,937.082,4.24374,312,-1
20,84,0,24.296,0,19.701,0,38.549,0,108.8,2530.5,OROWL,42.99130435,N ,235,Location 1,Free Practice 3,22.9444,33.9,29,937.014,2.12187,51,-1
21,95,0,21.747,0,17.471,2,28.469,0,132.7,2598.2,OROWL,42.99130435,N ,250,Location 1,Free Practice 3,22.8889,33.6,29,937.082,2.12187,292,-1
22,105,0,24.032,0,21.204,0,36.654,0,109.7,2680.1,OROWL,42.99130435,N ,235,Location 1,Free Practice 3,22.8333,33.5,30,937.082,2.12187,304,-1
23,72,0,24.808,0,19.799,0,31.134,0,118.6,2755.8,OROWL,42.99130435,N ,250,Location 1,Free Practice 3,22.49866905,34.25952381,30.5952381,937.1912381,3.08176,234.5714286,-1
1,96,0,31.863,0,20.76,0,32.232,0,105.9,84.9,SBU,54.78571429,Nt,250,Location 1,Free Practice 3,22,32.7,32,937.454,2.12187,286,-1
2,103,0,23.641,0,19.42,0,34.476,0,115.8,162.4,SBU,54.78571429,Nt,250,Location 1,Free Practice 3,22,33,32,937.42,8.48747,270,-1
3,99,0,22.917,0,18.581,0,29.89,0,125.8,233.8,SBU,54.78571429,Nt,250,Location 1,Free Practice 3,21.9444,33.2,32,937.454,4.24374,298,-1
4,72,0,30.646,0,22.33,0,32.58,0,105,319.3,SBU,54.78571429,Nt,250,Location 1,Free Practice 3,22,33.7,32,937.386,4.24374,294,-1
5,187,0,22.299,0,18.461,0,29.736,0,127.4,389.8,SBU,54.78571429,Nt,250,Location 1,Free Practice 3,22.0556,33.9,32,937.42,2.12187,295,-1
6,105,0,29.889,0,22.85,0,31.886,0,106.1,474.5,SBU,54.78571429,Nt,250,Location 1,Free Practice 3,22.1111,34.1,32,937.386,1.06093,288,-1
7,101,0,22.043,0,18.099,0,29.696,0,128.6,544.3,SBU,54.78571429,Nt,250,Location 1,Free Practice 3,22.2222,34.4,31,937.454,2.12187,329,-1
8,114,0,26.575,0,23.166,0,40.285,0,99.8,634.3,SBU,54.78571429,Nt,250,Location 1,Free Practice 3,22.2778,34.5,31,937.42,3.1828,297,-1
9,68,0,519.4,0,21.785,0,32.495,0,15.7,1208,SBU,54.78571429,Nt,250,Location 1,Free Practice 3,22.4444,35.1,31,937.149,10.6093,301,-1
10,94,0,24.363,0,19.709,0,32.643,0,117.1,1284.7,SBU,54.78571429,Nt,250,Location 1,Free Practice 3,22.4444,34.9,30,937.082,2.12187,5,-1
11,127,0,21.957,0,17.906,0,29.383,0,129.7,1353.9,SBU,54.78571429,Nt,250,Location 1,Free Practice 3,22.4444,34.6,30,937.149,5.30467,314,-1
12,159,0,26.974,0,21.625,0,42.091,0,99,1444.6,SBU,54.78571429,Nt,250,Location 1,Free Practice 3,22.5,34.1,30,937.082,2.12187,275,-1
13,73,0,298.2,0,20.844,0,32.575,0,25.5,1796.2,SBU,54.78571429,Nt,250,Location 1,Free Practice 3,22.6667,34.2,30,937.014,2.12187,296,-1
14,155,0,24.442,0,19.258,0,33.034,0,117.1,1873,SBU,54.78571429,Nt,235,Location 1,Free Practice 3,22.49866905,34.25952381,30.5952381,937.1912381,3.08176,234.5714286,-1
15,88,0,22.296,0,17.62,2,28.789,0,130.7,1941.7,SBU,54.78571429,Nt,250,Location 1,Free Practice 3,22.7778,34.3,30,937.082,6.3656,49,-1
16,93,0,27.144,0,21.926,0,40.264,0,100.5,2031,SBU,54.78571429,Nt,235,Location 1,Free Practice 3,22.7778,34.4,30,937.115,4.24374,21,-1
17,101,0,362.7,0,21.545,0,31.682,0,21.6,2447,SBU,54.78571429,Nt,250,Location 1,Free Practice 3,23,34.4,30,937.082,4.24374,312,-1
18,115,0,24.292,0,20.033,0,35.745,0,112.2,2527,SBU,54.78571429,Nt,250,Location 1,Free Practice 3,22.9444,33.9,29,937.014,2.12187,51,-1
19,74,2,21.592,2,17.66,0,28.497,2,132.6,2594.8,SBU,54.78571429,Nt,250,Location 1,Free Practice 3,22.8889,33.6,29,937.082,2.12187,292,-1
20,98,0,26.113,0,20.47,0,35.155,0,109.9,2676.5,SBU,54.78571429,Nt,250,Location 1,Free Practice 3,22.8333,33.5,30,937.082,2.12187,304,-1
21,85,0,21.983,0,18.24,0,29.756,0,128.4,2746.5,SBU,54.78571429,Nt,250,Location 1,Free Practice 3,22.49866905,34.25952381,30.5952381,937.1912381,3.08176,234.5714286,-1
1,102,0,30.568,0,21.662,0,34.789,0,103.2,87,JVER,31.412,DS,250,Location 1,Free Practice 3,22,32.7,32,937.454,2.12187,286,-1
2,123,0,23.72,0,19.084,0,30.666,0,122.3,160.5,JVER,31.412,DS,250,Location 1,Free Practice 3,22,33,32,937.42,8.48747,270,-1
3,93,0,22.871,0,18.97,0,30.335,0,124.4,232.7,JVER,31.412,DS,250,Location 1,Free Practice 3,21.9444,33.2,32,937.454,4.24374,298,-1
4,87,0,22.558,0,19.32,0,31.823,0,121.9,306.4,JVER,31.412,DS,250,Location 1,Free Practice 3,22,33.7,32,937.386,4.24374,294,-1
5,71,0,27.772,0,23.752,0,36.663,0,101.9,394.6,JVER,31.412,DS,250,Location 1,Free Practice 3,22.0556,33.9,32,937.42,2.12187,295,-1
6,96,0,22.297,0,18.237,0,29.412,0,128.4,464.5,JVER,31.412,DS,250,Location 1,Free Practice 3,22.1111,34.1,32,937.386,1.06093,288,-1
7,197,0,26.331,0,25.906,0,33.617,0,104.6,550.4,JVER,31.412,DS,250,Location 1,Free Practice 3,22.2222,34.4,31,937.454,2.12187,329,-1
8,122,0,22.233,0,18.208,0,29.292,0,128.8,620.1,JVER,31.412,DS,250,Location 1,Free Practice 3,22.2778,34.5,31,937.42,3.1828,297,-1
9,85,0,24.221,0,22.793,0,43.386,0,99.4,710.5,JVER,31.412,DS,250,Location 1,Free Practice 3,22.2778,34.5,31,937.386,3.1828,277,-1
10,107,0,442,0,23.723,0,33.57,0,18,1209.8,JVER,31.412,DS,250,Location 1,Free Practice 3,22.4444,35.1,31,937.149,10.6093,301,-1
11,122,0,25.163,0,21.398,0,32.83,0,113.1,1289.2,JVER,31.412,DS,235,Location 1,Free Practice 3,22.4444,34.9,30,937.082,2.12187,5,-1
12,96,0,22.021,0,17.835,0,29.262,0,130,1358.3,JVER,31.412,DS,250,Location 1,Free Practice 3,22.4444,34.6,30,937.149,5.30467,314,-1
13,87,0,25.154,0,21.899,0,32.368,0,113.1,1437.8,JVER,31.412,DS,235,Location 1,Free Practice 3,22.4444,34.1,30,937.115,2.12187,283,-1
14,93,0,22.108,0,18.037,0,29.112,0,129.7,1507,JVER,31.412,DS,250,Location 1,Free Practice 3,22.5,34.2,30,937.115,3.1828,355,-1
15,94,0,24.28,0,24.437,0,37.399,0,104.3,1593.1,JVER,31.412,DS,250,Location 1,Free Practice 3,22.5556,34.3,30,937.082,3.1828,290,-1
16,122,0,21.827,0,19.125,0,44.631,0,105,1678.7,JVER,31.412,DS,250,Location 1,Free Practice 3,22.6111,34.3,30,937.014,1.06093,304,-1
17,109,0,22.387,0,18.062,0,41.655,0,109.4,1760.8,JVER,31.412,DS,250,Location 1,Free Practice 3,22.6667,34.2,30,937.014,2.12187,296,-1
18,85,0,188.5,0,20.699,0,31.141,0,37.4,2001.1,JVER,31.412,DS,250,Location 1,Free Practice 3,22.7778,34.4,30,937.115,4.24374,21,-1
19,74,0,21.964,0,17.931,0,29.223,0,130,2070.2,JVER,31.412,DS,250,Location 1,Free Practice 3,22.7778,34.4,30,937.048,2.12187,5,-1
20,74,0,24.329,0,20.004,0,41.08,0,105.2,2155.6,JVER,31.412,DS,250,Location 1,Free Practice 3,22.7778,34.5,30,936.98,1.06093,350,-1
21,93,0,128.6,0,21.276,0,33.619,0,48.9,2339.2,JVER,31.412,DS,250,Location 1,Free Practice 3,22.8889,34.4,30,937.048,5.30467,346,-1
22,85,0,23.065,0,20.477,0,32.935,0,117.4,2415.6,JVER,31.412,DS,250,Location 1,Free Practice 3,23,34.4,30,937.082,4.24374,312,-1
23,103,2,21.649,2,17.676,2,28.866,2,131.7,2483.8,JVER,31.412,DS,250,Location 1,Free Practice 3,23,34.4,30,937.048,5.30467,26,-1
24,85,0,24.689,0,20.901,0,40.673,0,104.1,2570.1,JVER,31.412,DS,250,Location 1,Free Practice 3,22.9444,33.9,29,937.014,2.12187,51,-1
25,92,0,73.9,0,25.75,0,41.83,0,63.5,2711.6,JVER,31.412,DS,250,Location 1,Free Practice 3,22.49866905,34.25952381,30.5952381,937.1912381,3.08176,234.5714286,-1
1,85,0,45.836,0,23.309,0,35.109,0,86.2,104.3,J,32.312,BMWE,250,Location 1,Free Practice 3,22,32.7,32,937.454,2.12187,286,-1
2,72,0,25.022,0,21.107,0,35.165,0,110.5,185.5,J,32.312,BMWE,250,Location 1,Free Practice 3,21.9444,33.2,32,937.454,4.24374,298,-1
3,71,0,22.817,0,18.409,0,29.628,0,126.8,256.4,J,32.312,BMWE,250,Location 1,Free Practice 3,21.9444,33.5,32,937.352,4.24374,309,-1
4,91,0,23.772,0,20.218,0,40.025,0,106.9,340.4,J,32.312,BMWE,250,Location 1,Free Practice 3,22,33.7,32,937.386,4.24374,294,-1
5,111,0,61.1,0,19.545,0,32.254,0,79.6,453.3,J,32.312,BMWE,250,Location 1,Free Practice 3,22.1111,34.1,32,937.386,1.06093,288,-1
6,126,0,22.306,0,18.095,0,29.683,0,128.2,523.4,J,32.312,BMWE,250,Location 1,Free Practice 3,22.1667,34.2,32,937.42,3.1828,331,-1
7,92,0,24.282,0,22.717,0,37.437,0,106.4,607.8,J,32.312,BMWE,250,Location 1,Free Practice 3,22.2778,34.5,31,937.42,3.1828,297,-1
8,95,0,22.245,0,18.19,0,29.542,0,128.4,677.8,J,32.312,BMWE,250,Location 1,Free Practice 3,22.2778,34.5,31,937.386,3.1828,277,-1
9,80,0,25.68,0,32.717,0,76.6,0,66.6,812.8,J,32.312,BMWE,250,Location 1,Free Practice 3,22.3333,34.7,31,937.319,2.12187,18,-1
10,165,0,384.4,0,21.318,0,32.519,0,20.5,1251,J,32.312,BMWE,250,Location 1,Free Practice 3,22.4444,35.1,31,937.149,10.6093,301,-1
11,81,0,22.186,0,18.169,0,29.596,0,128.4,1321,J,32.312,BMWE,250,Location 1,Free Practice 3,22.4444,34.6,30,937.149,5.30467,314,-1
12,103,0,24.15,0,21.518,0,34.469,0,112.1,1401.1,J,32.312,BMWE,250,Location 1,Free Practice 3,22.4444,34.1,30,937.115,2.12187,283,-1
13,93,0,22.308,0,18.07,0,29.816,0,128,1471.3,J,32.312,BMWE,250,Location 1,Free Practice 3,22.5,34.1,30,937.082,2.12187,275,-1
14,171,0,25.151,0,21.113,0,31.831,0,115,1549.4,J,32.312,BMWE,250,Location 1,Free Practice 3,22.5,34.2,30,937.115,3.1828,355,-1
15,73,0,22.189,0,18.514,0,29.6,0,127.8,1619.7,J,32.312,BMWE,250,Location 1,Free Practice 3,22.5556,34.3,30,937.082,3.1828,290,-1
16,100,0,24.667,0,20.919,0,35.926,0,110.2,1701.2,J,32.312,BMWE,250,Location 1,Free Practice 3,22.6111,34.3,31,937.082,1.06093,302,-1
